state,state_fips,union_membership_rate_pct,union_members,employed_wage_salary_workers,median_household_income_usd,rpp_all_items,median_household_income_real_usd,union_rate_year,income_year,rpp_year,union_source_url,income_source_url,rpp_source_url
Alabama,01,6.6,140000,2110000,66659,88.823,75047.0,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Alaska,02,17.7,53000,300000,95665,102.359,93460.27,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Arizona,04,3.7,118000,3183000,81486,100.677,80938.05,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Arkansas,05,3.5,45000,1265000,62106,86.937,71437.94,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
California,06,14.5,2381000,16399000,100149,110.72,90452.49,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Colorado,08,7.7,206000,2671000,97113,103.052,94236.89,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Connecticut,09,16.5,269000,1634000,96049,103.61,92702.44,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Delaware,10,8.5,37000,435000,87534,99.808,87702.39,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Florida,12,5.1,462000,9086000,77735,103.414,75168.74,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Georgia,13,3.8,174000,4619000,79991,96.293,83070.42,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Hawaii,15,26.5,147000,556000,100745,109.951,91627.18,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Idaho,16,5.0,43000,850000,81166,95.494,84995.92,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Illinois,17,13.1,734000,5615000,83211,99.958,83245.96,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Indiana,18,9.0,271000,2999000,71959,93.329,77102.51,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Iowa,19,6.4,93000,1437000,75501,87.762,86029.26,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Kansas,20,6.3,83000,1309000,75514,90.068,83841.1,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Kentucky,21,8.8,156000,1761000,64526,90.159,71569.12,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Louisiana,22,3.9,69000,1741000,60986,88.207,69139.64,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Maine,23,13.1,77000,585000,76442,97.05,78765.58,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Maryland,24,11.4,325000,2851000,102905,104.959,98043.05,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Massachusetts,25,14.6,496000,3397000,104828,105.757,99121.57,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Michigan,26,13.4,581000,4346000,72389,96.217,75235.15,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Minnesota,27,14.2,379000,2668000,87117,98.621,88335.14,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Mississippi,28,5.2,59000,1129000,59127,86.953,67998.8,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Missouri,29,8.6,234000,2734000,71589,90.817,78827.75,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Montana,30,11.9,56000,474000,75340,94.645,79602.73,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Nebraska,31,6.8,62000,913000,76376,90.103,84765.21,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Nevada,32,12.1,166000,1367000,81134,99.979,81151.04,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
New Hampshire,33,9.2,62000,678000,99782,104.165,95792.25,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
New Jersey,34,16.2,682000,4197000,104294,108.805,95854.05,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
New Mexico,35,7.5,63000,834000,67816,92.212,73543.57,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
New York,36,20.6,1706000,8278000,85820,107.921,79521.13,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
North Carolina,37,2.4,108000,4555000,73958,94.326,78406.8,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
North Dakota,38,5.0,18000,366000,77871,88.959,87535.83,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Ohio,39,12.1,621000,5147000,72212,92.774,77836.46,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Oklahoma,40,5.3,91000,1713000,66148,87.843,75302.53,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Oregon,41,15.9,292000,1835000,85220,103.361,82448.89,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Pennsylvania,42,11.7,666000,5706000,77545,97.572,79474.64,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Rhode Island,44,14.5,73000,500000,83504,102.28,81642.55,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
South Carolina,45,2.8,61000,2163000,72350,93.749,77174.16,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
South Dakota,46,2.7,12000,431000,76881,88.586,86786.85,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Tennessee,47,4.7,136000,2923000,71997,91.87,78368.35,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Texas,48,4.5,603000,13345000,79721,97.057,82138.33,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Utah,49,3.7,58000,1558000,96658,98.864,97768.65,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Vermont,50,14.3,42000,297000,82730,97.958,84454.56,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Virginia,51,5.2,207000,3997000,92090,101.104,91084.43,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Washington,53,16.0,548000,3432000,99389,107.013,92875.63,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
West Virginia,54,8.8,61000,699000,60798,89.497,67933.0,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Wisconsin,55,6.4,180000,2819000,77488,94.095,82350.82,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
Wyoming,56,5.6,14000,249000,75532,92.691,81487.95,2024,2024,2024,https://www.bls.gov/opub/ted/2025/union-membership-rates-highest-in-hawaii-and-new-york-lowest-in-north-carolina-in-2024.htm,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B19013_001E&for=state:*",https://apps.bea.gov/regional/zip/SARPP.zip
